mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_class_weight,param_bootstrap,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
777.0921151638031,15.785212297123739,22.59339141845703,1.3633997173955537,150,5,1,sqrt,20,,True,"{'n_estimators': 150, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 20, 'class_weight': None, 'bootstrap': True}",0.8625410023283632,0.8651806430425508,0.8641658837027087,0.8639625096912075,0.0010871818358842071,1
605.0035572052002,10.156430131368573,29.750242471694946,0.5545341087749825,100,5,1,sqrt,30,,True,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 30, 'class_weight': None, 'bootstrap': True}",0.8618215623069969,0.8644008520850415,0.8639031487291344,0.8633751877070576,0.001117211132062211,2
761.6556725502014,16.32544002231223,28.162267923355103,1.6552957000774686,150,5,1,log2,30,,True,"{'n_estimators': 150, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 30, 'class_weight': None, 'bootstrap': True}",0.8603443032031435,0.8643473321249595,0.8634851250239204,0.8627255867840078,0.0017202197322127284,3
739.7167761325836,14.859391923320972,29.439966360727947,1.4257532305340808,150,2,2,log2,30,,True,"{'n_estimators': 150, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 30, 'class_weight': None, 'bootstrap': True}",0.8601897576501333,0.8637707122953578,0.8616956935242076,0.861885387823233,0.001468059260407171,4
616.8527874946594,13.224291661934163,26.170342683792114,1.648972668899253,100,10,2,sqrt,30,,True,"{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 30, 'class_weight': None, 'bootstrap': True}",0.8601500898944233,0.8628714529869401,0.8622141065653319,0.8617452164822318,0.0011594101094523303,5
814.2852895259857,11.636373239272011,24.6315069993337,0.4694979939743367,150,2,1,sqrt,30,balanced_subsample,True,"{'n_estimators': 150, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 30, 'class_weight': 'balanced_subsample', 'bootstrap': True}",0.8612401522407578,0.8617254586727756,0.8607880733245397,0.8612512280793577,0.00038276609778677975,6
817.4988327026367,4.541224087023908,22.636120637257893,0.07978377031758718,150,5,4,sqrt,25,,True,"{'n_estimators': 150, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 25, 'class_weight': None, 'bootstrap': True}",0.8579317304959967,0.8616099441472697,0.8614204267675771,0.8603207004702812,0.0016910277669366103,7
748.956397930781,11.924447097834296,27.926205158233643,1.309298890381797,150,5,4,log2,30,,True,"{'n_estimators': 150, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 30, 'class_weight': None, 'bootstrap': True}",0.8585721215173128,0.8623664283205099,0.8598029275111472,0.8602471591163233,0.0015805478624989593,8
695.4504896799723,8.305763977257206,28.63241449991862,1.0278780647287753,150,2,4,log2,20,,True,"{'n_estimators': 150, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 20, 'class_weight': None, 'bootstrap': True}",0.8581064049823491,0.8610640890484329,0.8605933718982511,0.8599212886430111,0.0012976249291614852,9
472.55627671877545,9.31641662874018,25.217667897542317,1.1989505869564796,100,2,4,log2,20,,True,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 20, 'class_weight': None, 'bootstrap': True}",0.8575049059867105,0.8590032260502082,0.8608746834114626,0.8591276051494604,0.0013785143194372446,10
725.8655371665955,13.590683559398888,28.72347942988078,1.560544824845105,150,5,4,log2,25,,True,"{'n_estimators': 150, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 25, 'class_weight': None, 'bootstrap': True}",0.8570459472869519,0.8603061968560567,0.8583805024798167,0.8585775488742752,0.0013382643671035845,11
745.6274762153625,24.23352001027278,27.30839165051778,2.425999586753678,150,2,4,log2,25,balanced_subsample,True,"{'n_estimators': 150, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 25, 'class_weight': 'balanced_subsample', 'bootstrap': True}",0.8548113524822353,0.8546078287727013,0.8551419798166487,0.8548537203571951,0.00022011453391209397,12
786.7943335374197,1.2142699192478084,22.046311378479004,0.1206520668277448,150,5,2,sqrt,20,balanced_subsample,True,"{'n_estimators': 150, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 20, 'class_weight': 'balanced_subsample', 'bootstrap': True}",0.8491186025050803,0.8487487793465428,0.8502708190078554,0.8493794002864928,0.0006481577970136634,13
791.8190257549286,3.9759867364244865,21.62074104944865,0.24870512313562776,150,5,4,sqrt,20,balanced_subsample,True,"{'n_estimators': 150, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 20, 'class_weight': 'balanced_subsample', 'bootstrap': True}",0.8481818858126343,0.8479352514875607,0.8488531621508345,0.8483234331503432,0.00038787174258793697,14
